Removed Pin From Net: NetName=DO1 Pin=P4-1
Removed Pin From Net: NetName=DO2 Pin=P4-2
Removed Pin From Net: NetName=DO4 Pin=P4-4
Removed Pin From Net: NetName=DO5 Pin=P4-5
Removed Pin From Net: NetName=DO6 Pin=P5-1
Removed Pin From Net: NetName=DO7 Pin=P5-2
Removed Pin From Net: NetName=DO9 Pin=P5-4
Removed Pin From Net: NetName=GND_CL Pin=P5-5
Removed Member From Class: ClassName=U_BUCK CONVERTER Member=C15
Removed Member From Class: ClassName=U_A_INPUT Member=R27
Removed Member From Class: ClassName=U_D_OUTPUT Member=R31
Removed Member From Class: ClassName=U_ESP8266 Member=R54
Added Pin To Net: NetName=DO5 Pin=P4-1
Added Pin To Net: NetName=DO4 Pin=P4-2
Added Pin To Net: NetName=DO2 Pin=P4-4
Added Pin To Net: NetName=DO1 Pin=P4-5
Added Pin To Net: NetName=GND_CL Pin=P5-1
Added Pin To Net: NetName=DO9 Pin=P5-2
Added Pin To Net: NetName=DO7 Pin=P5-4
Added Pin To Net: NetName=DO6 Pin=P5-5
Added Member To Class: ClassName=U_RS232 Member=Component C14 104
Added Member To Class: ClassName=U_BUCK CONVERTER Member=Component C16 470uF
Added Member To Class: ClassName=U_BUCK CONVERTER Member=Component C17 470uF
Added Member To Class: ClassName=U_D_INPUT Member=Component R7 10k
Added Member To Class: ClassName=U_D_INPUT Member=Component R9 10k
Added Member To Class: ClassName=U_D_INPUT Member=Component R12 10k
Added Member To Class: ClassName=U_D_INPUT Member=Component R14 10k
Added Member To Class: ClassName=U_D_INPUT Member=Component R16 10k
Added Member To Class: ClassName=U_D_INPUT Member=Component R18 10k
Added Member To Class: ClassName=U_D_INPUT Member=Component R20 10k
Added Member To Class: ClassName=U_D_INPUT Member=Component R22 10k
Added Member To Class: ClassName=U_D_INPUT Member=Component R24 10k
Added Member To Class: ClassName=U_D_INPUT Member=Component R26 10k
Added Member To Class: ClassName=U_A_INPUT Member=Component R28 10k
Added Member To Class: ClassName=U_A_INPUT Member=Component R30 4.7k
Added Member To Class: ClassName=U_D_OUTPUT Member=Component R32 10k
Added Member To Class: ClassName=U_D_OUTPUT Member=Component R34 10k
Added Member To Class: ClassName=U_D_OUTPUT Member=Component R38 10k
Added Member To Class: ClassName=U_D_OUTPUT Member=Component R40 10k
Added Member To Class: ClassName=U_D_OUTPUT Member=Component R43 680R
Added Member To Class: ClassName=U_D_OUTPUT Member=Component R45 10k
Added Member To Class: ClassName=U_D_OUTPUT Member=Component R47 10k
Added Member To Class: ClassName=U_D_OUTPUT Member=Component R49 680R
Added Member To Class: ClassName=U_PWM_OUTPUT Member=Component R51 20k
Added Member To Class: ClassName=U_PWM_OUTPUT Member=Component R53 10k
Added Member To Class: ClassName=U_ESP8266 Member=Component R55 10k
Added Member To Class: ClassName=U_ESP8266 Member=Component R57 10k
Added Member To Class: ClassName=U_ESP8266 Member=Component R59 10k
